timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1460690399326,2974,HTTP Request,200,OK,Thread Group 1-3,text,true,1129,5,5,2974
1460690399726,2846,HTTP Request,200,OK,Thread Group 1-5,text,true,3236,5,5,2846
1460690400159,2463,HTTP Request,200,OK,Thread Group 1-2,text,true,1270,5,5,2463
1460690398756,4001,HTTP Request,200,OK,Thread Group 1-4,text,true,1316,5,5,4001
1460690402301,2054,HTTP Request,200,OK,Thread Group 1-3,text,true,1054,5,5,2054
1460690402572,2093,HTTP Request,200,OK,Thread Group 1-5,text,true,1391,5,5,2093
1460690401980,4064,HTTP Request,200,OK,Thread Group 1-1,text,true,1031,5,5,4064
1460690404355,2128,HTTP Request,200,OK,Thread Group 1-3,text,true,1345,5,5,2128
1460690402622,4709,HTTP Request,200,OK,Thread Group 1-2,text,true,1204,5,5,4709
1460690402757,5848,HTTP Request,200,OK,Thread Group 1-4,text,true,981,5,5,5847
1460690406046,2789,HTTP Request,200,OK,Thread Group 1-1,text,true,979,5,5,2789
1460690407333,1757,HTTP Request,200,OK,Thread Group 1-2,text,true,1129,5,5,1757
1460690404665,4457,HTTP Request,200,OK,Thread Group 1-5,text,true,974,5,5,4457
1460690406485,3260,HTTP Request,200,OK,Thread Group 1-3,text,true,1391,5,5,3260
1460690408606,1587,HTTP Request,200,OK,Thread Group 1-4,text,true,3161,5,5,1587
1460690408835,1514,HTTP Request,200,OK,Thread Group 1-1,text,true,1270,5,5,1514
1460690409124,1416,HTTP Request,200,OK,Thread Group 1-5,text,true,1054,5,5,1416
1460690409745,1726,HTTP Request,200,OK,Thread Group 1-3,text,true,1316,5,5,1726
1460690409090,4104,HTTP Request,200,OK,Thread Group 1-2,text,true,1031,5,5,4104
1460690410349,3001,HTTP Request,200,OK,Thread Group 1-1,text,true,3236,5,5,3001
1460690413194,1548,HTTP Request,200,OK,Thread Group 1-2,text,true,1054,5,5,1548
1460690411471,3957,HTTP Request,200,OK,Thread Group 1-3,text,true,1106,5,5,3957
1460690410539,5445,HTTP Request,200,OK,Thread Group 1-5,text,true,1270,5,5,5445
1460690410193,6585,HTTP Request,200,OK,Thread Group 1-4,text,true,1129,5,5,6585
1460690413350,3587,HTTP Request,200,OK,Thread Group 1-1,text,true,1391,5,5,3587
1460690414743,2890,HTTP Request,200,OK,Thread Group 1-2,text,true,1129,5,5,2890
1460690415984,1739,HTTP Request,200,OK,Thread Group 1-5,text,true,1270,5,5,1739
1460690415429,2398,HTTP Request,200,OK,Thread Group 1-3,text,true,3236,5,5,2398
1460690416938,1208,HTTP Request,200,OK,Thread Group 1-1,text,true,979,5,5,1208
1460690417827,1762,HTTP Request,200,OK,Thread Group 1-3,text,true,3161,5,5,1762
1460690417723,2724,HTTP Request,200,OK,Thread Group 1-5,text,true,1204,5,5,2724
1460690416777,4476,HTTP Request,200,OK,Thread Group 1-4,text,true,1031,5,5,4476
1460690420448,1605,HTTP Request,200,OK,Thread Group 1-5,text,true,979,5,5,1605
1460690419590,4378,HTTP Request,200,OK,Thread Group 1-3,text,true,1106,5,5,4378
1460690418146,5946,HTTP Request,200,OK,Thread Group 1-1,text,true,1270,5,5,5946
