timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,bytes,grpThreads,allThreads,Latency
1460686980836,871,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311405,5,5,112
1460686981667,265,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,43
1460686981606,356,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,37
1460686981376,594,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,55
1460686981418,570,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311405,5,5,184
1460686981711,371,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311405,5,5,92
1460686981962,192,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,33
1460686982155,266,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,23
1460686982083,357,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,33
1460686981934,534,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311405,5,5,111
1460686981989,540,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311405,5,5,123
1460686981971,567,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,27
1460686982421,202,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,49
1460686982442,255,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,17
1460686982539,298,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,31
1460686982624,308,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,30
1460686982469,466,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311405,5,5,139
1460686982699,358,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,38
1460686982838,256,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,42
1460686982936,353,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,34
1460686982530,839,HTTP Request,200,OK,Thread Group 1-2,bin,true,8311405,5,5,165
1460686983095,351,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,39
1460686983057,471,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,50
1460686982933,639,HTTP Request,200,OK,Thread Group 1-4,bin,true,8311330,5,5,17
1460686983292,287,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,21
1460686983448,326,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,35
1460686983581,259,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,19
1460686983529,447,HTTP Request,200,OK,Thread Group 1-5,bin,true,8311330,5,5,37
1460686983776,304,HTTP Request,200,OK,Thread Group 1-1,bin,true,8311330,5,5,48
1460686983841,240,HTTP Request,200,OK,Thread Group 1-3,bin,true,8311330,5,5,22
